Date,Type,Category,Account,Description,Amount
2025-10-01,Expense,Other,SBIcc,kirana,500.0
2025-09-12,Expense,Other,nCChdfc,eggs,84.0
2025-09-12,Expense,Other,HDFC,ccbill,13328.0
2025-09-12,Expense,Other,HDFC,kirana,90.0
2025-09-12,Expense,Other,HDFC,adhaar,75.0
2025-09-12,Expense,Other,HDFC,ccbill,1962.0
2025-09-12,Expense,Other,nCChdfc,milk,120.0
2025-09-12,Expense,Other,nCChdfc,transfer,300.0
2025-09-12,Expense,Other,HDFC,registraion,2500.0
2025-09-11,Expense,Other,nCChdfc,chicken,1290.0
2025-09-11,Expense,Other,cash,beta,3000.0
2025-09-11,Income,Other,cash,rice,700.0
2025-09-11,Expense,Other,nCChdfc,recharge,195.0
2025-09-11,Expense,ayyappa,HDFC,slab,60000.0
2025-09-11,Expense,Other,HDFC,tiffin,470.0
2025-09-10,Expense,Other,SBIcc,milk,70.0
2025-09-10,Expense,Other,nCChdfc,fruits,190.0
2025-09-10,Expense,Other,HDFC,ccbill,13378.0
2025-09-09,Expense,nagesh,cash,watering,500.0
2025-09-09,Expense,Other,HDFC,diapers,160.0
2025-09-09,Expense,Other,HDFC,ccbill,41310.0
2025-09-09,Expense,srinu,cash,watering,600.0
2025-09-08,Expense,Other,HDFC,transfer,2100.0
2025-09-08,Expense,Other,HDFC,milk,140.0
2025-09-07,Expense,nagesh,cash,raallu,200.0
2025-09-07,Expense,mom,HDFC,transfer,1000.0
2025-09-07,Expense,Other,nCChdfc,petrol,300.0
2025-09-05,Expense,Other,HDFC,flowers,2200.0
2025-09-05,Expense,Other,cash,surveyor,1000.0
2025-09-05,Expense,Other,HDFC,bag,150.0
2025-09-05,Expense,srinu,cash,karralu,300.0
2025-09-05,Expense,Other,nCChdfc,petrol,520.0
2025-09-05,Expense,Other,HDFC,milk,105.0
2025-09-05,Expense,Other,HDFC,ccbill,1128.0
2025-09-05,Expense,Other,nCChdfc,tiffin,26.0
2025-09-04,Expense,Other,HDFC,ccbill,5400.0
2025-09-04,Expense,Other,HDFC,decoration,2600.0
2025-09-03,Expense,Other,HDFC,milk,105.0
2025-09-02,Expense,ayyappa,HDFC,bed pilars,23000.0
2025-09-02,Expense,Other,cash,banta,500.0
2025-09-02,Expense,Other,iAxis,termite,700.0
2025-09-02,Expense,Other,iAxis,chicken,1100.0
2025-09-02,Expense,Other,HDFC,natukodi,800.0
2025-09-01,Expense,Other,nCChdfc,food,230.0
2025-09-01,Expense,ksn,nCChdfc,ear rings,6100.0
2025-08-12,Expense,Other,nCChdfc,milk,115.0
2025-08-11,Expense,Other,nCChdfc,vegetables,400.0
